VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
159173	Valensole	FIHOL Dominique	Fiction	1,059,986
157557	Almamula	TORALES Juan Sebastian	Fiction	981,830
152815	Porcheville	ROMANO Marcia / SABATIER Benoît	Fiction	910,498
159187	Selon Joy	LUGAN Camille	Fiction	712,756
158869	Récréation de Juillet (La)	COTTEN Pablo / ROZÉ Joseph	Fiction	596,951
154964	Fatna, une femme nommée Rachid	HARDER Hélène	Documentaire	589,157
158594	Truth or conséquences	PROUFF Philippe	Fiction	544,991
153333	Enfant des profondeurs (L')	GAUBERT Denis	Documentaire	498,200
158773	Casa 93	BENARROSH Caroline	Documentaire	473,923
154461	Pour ton mariage	MILSHTEIN Oury	Documentaire	384,726
156756	Aux masques citoyennes	LACAZE Florent	Documentaire	323,029
156237	Nuit des gras (La)	BENHAIM Safia	Documentaire	315,223
157680	Enfant du paradis (L')	KECHIOUCHE Salim	Fiction	264,817
157857	Français, langue étrangère	NISHINO Madoka	Documentaire	245,000
160424	Mirari	BRUNEL Jérémie	Fiction	138,145
143411	Viens dans ma vie je vais t'en donner des sensations	GIARDINELLI Marino	Fiction	114,297
157826	Grand Phuket (Le)	LIU Yaonan	Fiction	99,796
﻿
155262	38°5 Quai des Orfèvres	LEHRER Benjamin	fiction	2,751,786									
156476	A l'abri du mal	LE FOURN Jonathan	documentaire	156,126									
157502	A resilient man, Steven Mc Rae	CARREL Stephane	documentaire	718,381									
153644	After the evil	ERDE Tamara	documentaire	536,922									
151326	Allah n'est pas obligé	NAJJAR Zaven	animation	6,572,719									
150230	Anti yéyé	DE SAINT-BLANQUAT Romain	fiction	1,942,193									
151904	Arche de Noé (L')	MARCIANO Bryan	fiction	3,311,157									
153773	As de la jungle 2 (Les)	BRU Laurent / MOULIN Yannick / SOMVILLE Benoît	animation	7,912,015									
153601	Avant que les flammes ne s'éteignent	FIKRI Mehdi	fiction	2,487,426									
156887	Banel et Adama	SY Ramata-Toulaye	fiction	1,924,301									
158420	Comme une louve	GLORION Caroline	fiction	1,662,533									
140273	Complètement cramé	LEGARDINIER Gilles	fiction	6,027,763									
156539	Dernier des juifs (Le)	DEBRe Noe	fiction	2,497,836									
152724	Derrière le soleil (ex : Des espoirs)	JERBI Dhia	documentaire	229,260									
152112	Dieu est une femme	PEYROT Andres	documentaire	522,289									
157575	Double foyer (ex : Rien qu'un ciel)	VASSE Claire	fiction	849,302									
156519	Du grand feu ne restent que les braises	TELLENNE Anais	fiction	1,217,008									
155247	Grand cirque (Le)	BENYAMNA Mohammed / ELGUEZAR Hassen	fiction	3,044,449									
156577	Grand Paris	JAUVAT Martin	fiction	288,915									
155718	Histoire de Karine (L') (ex : Menteuse)	GAUTIER Sylvie	fiction	1,102,628									
153086	HLM Pussy	EL HOURCH Nora	fiction	1,219,782									
157604	Ile aux morts (L')	VILLIERS Antoine	fiction	216,043									
151782	Je ne suis pas un héros	MILSTEIN Rudy	fiction	2,116,077									
157406	Je voudrais que tu me parles	ANGOT Christine	documentaire	685,563									
156636	Laena	DANAN Abel	fiction	1,652,397									
148152	Léo et moi	BEDOS Victoria	fiction	5,942,017									
158227	Life	NIKOLIC Dragan	fiction	896,814									
156020	Lumière noire	BENSALAH Karim	fiction	1,216,498									
155500	Ma cam	LERAT-GERSANT Julie	fiction	1,851,787									
156140	Magnificat	SAUVEUR Virginie	fiction	2,798,557									
157833	Maire (Le)	BLANC Karine / TAVARES Michel	fiction	5,936,649									
156257	Maison (La)	BONNEFONT Anissa	fiction	2,615,722									
157489	Mer et au-delà (La) (Flo)	DANON Geraldine	fiction	13,734,650									
152255	Miraculous - le film	ZAG Jeremy	animation	60,031,228									
155946	Monde après nous (Le)	BEN SALAH-CAZANAS Louda	fiction	234,463									
156663	Motherhood	JOOBEUR Meryam	fiction	1,292,579									
154026	Nos cérémonies	RIETH Simon	fiction	2,168,947									
154113	Nouvelle femme (La)	TODOROV Lea	fiction	3,608,513									
154655	Nuit du verre d'eau (La)	CHAHINE Carlos	fiction	1,092,491									
157014	Omar la fraise	BELKEDDAR Elias	fiction	6,340,556									
155051	Parmi nous	ALAOUI Sofia	fiction	2,966,144									
150885	Paternel	TRONCHOT Ronan	fiction	1,054,906									
146560	Petit Jésus	RIGOULOT Julien	fiction	3,162,318									
151008	Planètes	SETO Momoko	animation	4,706,747									
157220	Pollux	DICHTER Michael	fiction	2,452,762									
156787	Projectionniste (Le)	AGHAZADA Orkhan	documentaire	430,167									
156631	Quartier libre	DELSAUX Christophe	fiction	315,296									
152945	Rabia	ENGELHARDT Mareike	fiction	2,920,401									
154790	Ravissement (Le)	KALTENBACK Iris	fiction	2,011,098									
150485	Relaxe	GINESTET Audrey	fiction	207,277									
156717	Roi de la Vendée (Le)	MIGNOT Paul / MOTTEZ Vincent	fiction	3,462,353									
156541	Rokya	BELKTIBIA Said	fiction	3,428,156									
152679	Si tu es un homme	PANAY Simon	documentaire	289,402									
157407	Sous le tapis (ex : Odile)	JAPY Camille	fiction	1,786,029									
155426	Soyons fous	PEREZ Quentin	documentaire	1,171,587									
157546	Super bourré	MILHEAU Bastien	fiction	2,428,888									
152418	Tortue (La)	DOMENACH Lea	fiction	6,171,694									
156284	Toxic Sicily	DESTORS Francois-Xavier	documentaire	274,104									
156154	Un jour fille	MONOD Jean-Claude	fiction	834,548									
154278	Une autre est née	BIDOU Emmanuelle	documentaire	465,023									
156267	Vie de ma mère (La)	CARPENTIER Julien	fiction	2,101,614									
152364	Vie sauvage (La)	MUSIEDLAK Victoria	fiction	2,409,088									
149998	Vincent doit mourir	CASTANG Stephan	fiction	4,859,800									
155114	Zé	PUREV-OCHIR Lkhagvadulam	fiction	785,000									
149826	A la belle étoile	TULARD Sébastien	fiction	4,445,984									
